file_path,prd_clause,change_summary,verification_type,verification_evidence,pass_fail
src/producer_tools/business/lyric_architect.py,PRD 5.4,增加结构栅格规划与开口音拦截能力,pytest,tests/test_lyric_architect.py::test_structure_grid_planner_basic,PASS
src/producer_tools/business/prompt_compiler.py,PRD 5.5,补充 Suno prompt 字段拼装与风格/禁用词编译,pytest,tests/test_prompt_compiler.py::TestCompileStyleField::test_basic_style_field,PASS
src/producer_tools/business/style_deconstructor.py,PRD 5.2,增强参考曲节奏与结构信号提取稳定性,pytest,tests/test_style_deconstructor_bpm.py::test_bpm_extraction_returns_tempo_key_dict,PASS
src/producer_tools/business/acoustic_analyst.py,PRD 5.1,新增预处理与输入约束以保证声学分析可用性,pytest,tests/test_acoustic_analyst_preprocess.py::test_missing_audio_path_returns_error,PASS
src/producer_tools/business/friction_calculator.py,PRD 5.3,完善摩擦度计算分项与聚合输出,pytest,tests/test_friction_calculator.py::test_friction_calculator_returns_hard_constraints_score,PASS
src/producer_tools/business/post_processor.py,PRD 5.6,补齐后期处理链条中的错误处理与参数落盘,pytest,tests/test_post_processor.py::TestExtractStems::test_extract_stems_returns_stem_paths,PASS
src/producer_tools/orchestrator/orchestrator.py,PRD 10,串联全链路并在质量门失败时阻断下游 prompt 编译,pytest,tests/test_orchestrator.py::TestEndToEndFlow::test_orchestrate_blocks_prompt_when_lyric_gate_fails,PASS
apps/cli/main.py,PRD 4.1,补充 CLI 上下文与编排入口参数传递,pytest,tests/test_cli_context.py::test_cli_context_command_outputs_summary,PASS
.github/workflows/quality-gates.yml,PRD 4.1,修复 CI 质量门依赖安装缺口避免采集阶段失败,github-actions,https://github.com/where6713/AI-music-producer/actions/runs/24595753165/job/71925325981,PASS
